# wltelfit transtelfit wldata fluxdata
1.184026123046875000e+03 9.905380287424468966e-01 1.184026123046875000e+03 1.003853082656860352e+00
1.184031616210937500e+03 9.874243438650633919e-01 1.184031616210937500e+03 1.001642227172851562e+00
1.184037109375000000e+03 9.827043319164775470e-01 1.184037109375000000e+03 1.004697322845458984e+00
1.184042602539062500e+03 9.752056327377863765e-01 1.184042602539062500e+03 9.952381849288940430e-01
1.184048217773437500e+03 9.621413044584410379e-01 1.184048217773437500e+03 9.987150430679321289e-01
1.184053710937500000e+03 9.385644493109804865e-01 1.184053710937500000e+03 1.001546740531921387e+00
1.184059204101562500e+03 9.009759292804299102e-01 1.184059204101562500e+03 9.995172023773193359e-01
1.184064697265625000e+03 8.604802317386253119e-01 1.184064697265625000e+03 9.926178455352783203e-01
1.184070190429687500e+03 8.472577023063131429e-01 1.184070190429687500e+03 9.979478120803833008e-01
1.184075805664062500e+03 8.746779472545149758e-01 1.184075805664062500e+03 1.001766681671142578e+00
1.184081298828125000e+03 9.171099114776236627e-01 1.184081298828125000e+03 1.004189133644104004e+00
1.184086791992187500e+03 9.494865266995964337e-01 1.184086791992187500e+03 1.003545999526977539e+00
1.184092285156250000e+03 9.684681640937087277e-01 1.184092285156250000e+03 9.934257268905639648e-01
1.184097778320312500e+03 9.790469119850635504e-01 1.184097778320312500e+03 9.835529923439025879e-01
1.184103393554687500e+03 9.852143518526690347e-01 1.184103393554687500e+03 9.840515255928039551e-01
1.184108886718750000e+03 9.890172412306409422e-01 1.184108886718750000e+03 1.001711964607238770e+00
1.184114379882812500e+03 9.915274598025589636e-01 1.184114379882812500e+03 9.932033419609069824e-01
1.184119873046875000e+03 9.932792985352997261e-01 1.184119873046875000e+03 1.015434741973876953e+00
1.184125366210937500e+03 9.945372987017073729e-01 1.184125366210937500e+03 1.009965896606445312e+00
1.184130859375000000e+03 9.954741060404991293e-01 1.184130859375000000e+03 1.011622190475463867e+00
1.184136474609375000e+03 9.961928641984593158e-01 1.184136474609375000e+03 1.009267330169677734e+00
1.184141967773437500e+03 9.967498286635737559e-01 1.184141967773437500e+03 1.013483166694641113e+00
1.184147460937500000e+03 9.971888724431615669e-01 1.184147460937500000e+03 1.016960620880126953e+00
1.184152954101562500e+03 9.975424046511272014e-01 1.184152954101562500e+03 1.010503768920898438e+00
1.184158447265625000e+03 9.978302820326724332e-01 1.184158447265625000e+03 1.019823312759399414e+00
1.184163940429687500e+03 9.980676651389369658e-01 1.184163940429687500e+03 1.009046316146850586e+00
1.184169555664062500e+03 9.982641524381491438e-01 1.184169555664062500e+03 1.008876919746398926e+00
1.184175048828125000e+03 9.984250003273766882e-01 1.184175048828125000e+03 1.012914896011352539e+00
1.184180541992187500e+03 9.985558218342803771e-01 1.184180541992187500e+03 1.001282691955566406e+00
1.184186035156250000e+03 9.986604600901650697e-01 1.184186035156250000e+03 1.006247639656066895e+00
1.184191528320312500e+03 9.987401166957152743e-01 1.184191528320312500e+03 9.929777383804321289e-01
1.184197143554687500e+03 9.987927022930827015e-01 1.184197143554687500e+03 9.894580841064453125e-01
1.184202636718750000e+03 9.988114296895543864e-01 1.184202636718750000e+03 9.954090714454650879e-01
1.184208129882812500e+03 9.987825471378773967e-01 1.184208129882812500e+03 9.844002723693847656e-01
1.184213623046875000e+03 9.986745469490221350e-01 1.184213623046875000e+03 9.673578143119812012e-01
1.184219116210937500e+03 9.984166706091595067e-01 1.184219116210937500e+03 9.559000730514526367e-01
1.184224609375000000e+03 9.978825367340091734e-01 1.184224609375000000e+03 9.732051491737365723e-01
1.184230102539062500e+03 9.969969787362122915e-01 1.184230102539062500e+03 9.677593708038330078e-01
1.184235717773437500e+03 9.961149949600855980e-01 1.184235717773437500e+03 9.632670879364013672e-01
1.184241210937500000e+03 9.960056471727062322e-01 1.184241210937500000e+03 9.771795272827148438e-01
1.184246704101562500e+03 9.968057912899226380e-01 1.184246704101562500e+03 9.836574196815490723e-01
1.184252197265625000e+03 9.978173752419791098e-01 1.184252197265625000e+03 9.603919982910156250e-01
1.184257690429687500e+03 9.985273605798525853e-01 1.184257690429687500e+03 9.526231288909912109e-01
1.184263183593750000e+03 9.989278854382955819e-01 1.184263183593750000e+03 9.479780197143554688e-01
1.184268798828125000e+03 9.991508164441430528e-01 1.184268798828125000e+03 9.474612474441528320e-01
1.184274291992187500e+03 9.992830129156832220e-01 1.184274291992187500e+03 9.536473155021667480e-01
1.184279785156250000e+03 9.993676225193479645e-01 1.184279785156250000e+03 9.426475763320922852e-01
1.184285278320312500e+03 9.994250804554911660e-01 1.184285278320312500e+03 9.210199117660522461e-01
1.184290771484375000e+03 9.994651774261692490e-01 1.184290771484375000e+03 8.895230293273925781e-01
1.184296264648437500e+03 9.994928532916387276e-01 1.184296264648437500e+03 8.553764820098876953e-01
1.184301757812500000e+03 9.995090304570508621e-01 1.184301757812500000e+03 8.082671165466308594e-01
1.184307373046875000e+03 9.995096431073453580e-01 1.184307373046875000e+03 7.333036661148071289e-01
1.184312866210937500e+03 9.994995808258423375e-01 1.184312866210937500e+03 6.194850206375122070e-01
1.184318359375000000e+03 9.994996520106795845e-01 1.184318359375000000e+03 4.891287088394165039e-01
1.184323852539062500e+03 9.995022715391085333e-01 1.184323852539062500e+03 3.919257819652557373e-01
1.184329345703125000e+03 9.994787309765975625e-01 1.184329345703125000e+03 3.996678888797760010e-01
1.184334838867187500e+03 9.994188176823568526e-01 1.184334838867187500e+03 4.942433238029479980e-01
1.184340332031250000e+03 9.993532672374426662e-01 1.184340332031250000e+03 6.194980144500732422e-01
1.184345825195312500e+03 9.993053758857377566e-01 1.184345825195312500e+03 7.159432768821716309e-01
1.184351440429687500e+03 9.992195405811118425e-01 1.184351440429687500e+03 7.988522648811340332e-01
1.184356933593750000e+03 9.990370945157176497e-01 1.184356933593750000e+03 8.533467054367065430e-01
1.184362426757812500e+03 9.986923691477573861e-01 1.184362426757812500e+03 8.880003094673156738e-01
1.184367919921875000e+03 9.980486695268127040e-01 1.184367919921875000e+03 9.156176447868347168e-01
1.184373413085937500e+03 9.970064020498363710e-01 1.184373413085937500e+03 9.372093081474304199e-01
1.184378906250000000e+03 9.958799543095412377e-01 1.184378906250000000e+03 9.607044458389282227e-01
1.184384399414062500e+03 9.954877034677548364e-01 1.184384399414062500e+03 9.653266072273254395e-01
1.184389892578125000e+03 9.961839119804665188e-01 1.184389892578125000e+03 9.580099582672119141e-01
1.184395507812500000e+03 9.972690701359651078e-01 1.184395507812500000e+03 9.516214132308959961e-01
1.184401000976562500e+03 9.980145438963368143e-01 1.184401000976562500e+03 9.379329085350036621e-01
1.184406494140625000e+03 9.983594020242979594e-01 1.184406494140625000e+03 9.370672106742858887e-01
1.184411987304687500e+03 9.985466516974428330e-01 1.184411987304687500e+03 9.403805732727050781e-01
1.184417480468750000e+03 9.987213023613100704e-01 1.184417480468750000e+03 9.629874229431152344e-01
1.184422973632812500e+03 9.988454332270149116e-01 1.184422973632812500e+03 9.695321321487426758e-01
1.184428466796875000e+03 9.988332731367178807e-01 1.184428466796875000e+03 9.721529483795166016e-01
1.184433959960937500e+03 9.986004970169031214e-01 1.184433959960937500e+03 9.813544750213623047e-01
1.184439453125000000e+03 9.981594319628332990e-01 1.184439453125000000e+03 9.858492612838745117e-01
1.184445068359375000e+03 9.978599170794741902e-01 1.184445068359375000e+03 9.861435890197753906e-01
1.184450561523437500e+03 9.979468530781155922e-01 1.184450561523437500e+03 1.002671718597412109e+00
1.184456054687500000e+03 9.980160443892859279e-01 1.184456054687500000e+03 9.875255823135375977e-01
1.184461547851562500e+03 9.977307208058324717e-01 1.184461547851562500e+03 9.979172348976135254e-01
1.184467041015625000e+03 9.972688286633996091e-01 1.184467041015625000e+03 9.898325800895690918e-01
1.184472534179687500e+03 9.970159831231734104e-01 1.184472534179687500e+03 9.830307960510253906e-01
1.184478027343750000e+03 9.970034724482215172e-01 1.184478027343750000e+03 9.759654998779296875e-01
1.184483520507812500e+03 9.968882038908906118e-01 1.184483520507812500e+03 9.619712829589843750e-01
1.184489013671875000e+03 9.964453842591184385e-01 1.184489013671875000e+03 9.618381261825561523e-01
1.184494506835937500e+03 9.956057810306450095e-01 1.184494506835937500e+03 9.551010727882385254e-01
1.184500000000000000e+03 9.942208236414737943e-01 1.184500000000000000e+03 9.601196646690368652e-01
1.184505615234375000e+03 9.919231223699943589e-01 1.184505615234375000e+03 9.732518196105957031e-01
1.184511108398437500e+03 9.879550202003677395e-01 1.184511108398437500e+03 9.842231869697570801e-01
1.184516601562500000e+03 9.808480686137835969e-01 1.184516601562500000e+03 9.921296834945678711e-01
1.184522094726562500e+03 9.689020164880782771e-01 1.184522094726562500e+03 1.000010728836059570e+00
1.184527587890625000e+03 9.538336582339580483e-01 1.184527587890625000e+03 9.986515045166015625e-01
1.184533081054687500e+03 9.448308955688822230e-01 1.184533081054687500e+03 1.006623744964599609e+00
1.184538574218750000e+03 9.502083795757041429e-01 1.184538574218750000e+03 9.924035072326660156e-01
1.184544067382812500e+03 9.647538189267259590e-01 1.184544067382812500e+03 9.790272712707519531e-01
1.184549560546875000e+03 9.780040948604697970e-01 1.184549560546875000e+03 9.852632284164428711e-01
1.184555053710937500e+03 9.863151007232584533e-01 1.184555053710937500e+03 9.981589317321777344e-01
1.184560546875000000e+03 9.909555558119260699e-01 1.184560546875000000e+03 9.910112619400024414e-01
1.184566040039062500e+03 9.935996056434548418e-01 1.184566040039062500e+03 9.933987259864807129e-01
1.184571533203125000e+03 9.952044521564417101e-01 1.184571533203125000e+03 9.908571839332580566e-01
1.184577148437500000e+03 9.962224351274070466e-01 1.184577148437500000e+03 9.956048727035522461e-01
1.184582641601562500e+03 9.968828638136416620e-01 1.184582641601562500e+03 9.964864253997802734e-01
1.184588134765625000e+03 9.973281153876750738e-01 1.184588134765625000e+03 9.772216081619262695e-01
1.184593627929687500e+03 9.976058096725769486e-01 1.184593627929687500e+03 9.615271091461181641e-01
1.184599121093750000e+03 9.977326664018543179e-01 1.184599121093750000e+03 9.683647155761718750e-01
1.184604614257812500e+03 9.977947253057199983e-01 1.184604614257812500e+03 9.761226177215576172e-01
1.184610107421875000e+03 9.979124450447542927e-01 1.184610107421875000e+03 9.784346818923950195e-01
1.184615600585937500e+03 9.980879929695559705e-01 1.184615600585937500e+03 9.679170846939086914e-01
1.184621093750000000e+03 9.982169835222987064e-01 1.184621093750000000e+03 9.609187841415405273e-01
1.184626586914062500e+03 9.982443703756593845e-01 1.184626586914062500e+03 9.498791098594665527e-01
1.184632080078125000e+03 9.981888293466509854e-01 1.184632080078125000e+03 9.489604234695434570e-01
1.184637573242187500e+03 9.980546113280713838e-01 1.184637573242187500e+03 9.651178121566772461e-01
1.184643066406250000e+03 9.977922585350152973e-01 1.184643066406250000e+03 9.700978994369506836e-01
1.184648559570312500e+03 9.973200849856531658e-01 1.184648559570312500e+03 9.689246416091918945e-01
1.184654052734375000e+03 9.964729906834625117e-01 1.184654052734375000e+03 9.445978403091430664e-01
1.184659545898437500e+03 9.949024822995961026e-01 1.184659545898437500e+03 9.274522066116333008e-01
1.184665039062500000e+03 9.921049118258775668e-01 1.184665039062500000e+03 9.243786334991455078e-01
1.184670654296875000e+03 9.882715214128030556e-01 1.184670654296875000e+03 9.281456470489501953e-01
1.184676147460937500e+03 9.856299916332396105e-01 1.184676147460937500e+03 9.648399353027343750e-01
1.184681640625000000e+03 9.865584042233851436e-01 1.184681640625000000e+03 9.732763171195983887e-01
1.184687133789062500e+03 9.900346518197216117e-01 1.184687133789062500e+03 9.960707426071166992e-01
1.184692626953125000e+03 9.933075748644343284e-01 1.184692626953125000e+03 9.831964969635009766e-01
1.184698120117187500e+03 9.952757192719221546e-01 1.184698120117187500e+03 9.909166097640991211e-01
1.184703613281250000e+03 9.962485780047858341e-01 1.184703613281250000e+03 9.935690164566040039e-01
1.184709106445312500e+03 9.966748203128500405e-01 1.184709106445312500e+03 9.893227815628051758e-01
1.184714599609375000e+03 9.967935897387490973e-01 1.184714599609375000e+03 9.895061254501342773e-01
1.184720092773437500e+03 9.967027732212443425e-01 1.184720092773437500e+03 9.790208935737609863e-01
1.184725585937500000e+03 9.964352392980452278e-01 1.184725585937500000e+03 9.680103063583374023e-01
1.184731079101562500e+03 9.960024300037739753e-01 1.184731079101562500e+03 9.543968439102172852e-01
1.184736572265625000e+03 9.953753555823569021e-01 1.184736572265625000e+03 9.382103681564331055e-01
1.184742065429687500e+03 9.944601444244677291e-01 1.184742065429687500e+03 9.324554204940795898e-01
1.184747558593750000e+03 9.931135134228914474e-01 1.184747558593750000e+03 9.267276525497436523e-01
1.184753051757812500e+03 9.910906988734508039e-01 1.184753051757812500e+03 9.297387599945068359e-01
1.184758544921875000e+03 9.879223895739471795e-01 1.184758544921875000e+03 9.161616563796997070e-01
1.184764038085937500e+03 9.826648557831298980e-01 1.184764038085937500e+03 8.793876171112060547e-01
1.184769531250000000e+03 9.734067634866602203e-01 1.184769531250000000e+03 8.469853401184082031e-01
1.184775024414062500e+03 9.570173620284931904e-01 1.184775024414062500e+03 8.219490647315979004e-01
1.184780517578125000e+03 9.318927946444814925e-01 1.184780517578125000e+03 8.206009268760681152e-01
1.184786010742187500e+03 9.065314213314247249e-01 1.184786010742187500e+03 7.625758051872253418e-01
1.184791503906250000e+03 9.002165947526882261e-01 1.184791503906250000e+03 7.216726541519165039e-01
1.184796997070312500e+03 9.190161472089936057e-01 1.184796997070312500e+03 7.415901422500610352e-01
1.184802490234375000e+03 9.461877251091168617e-01 1.184802490234375000e+03 7.953593134880065918e-01
1.184807983398437500e+03 9.668211168953094736e-01 1.184807983398437500e+03 8.737745285034179688e-01
1.184813476562500000e+03 9.790241151688424681e-01 1.184813476562500000e+03 9.113192558288574219e-01
1.184818969726562500e+03 9.858962879110992894e-01 1.184818969726562500e+03 9.356204271316528320e-01
1.184824462890625000e+03 9.899448542574817989e-01 1.184824462890625000e+03 9.444370269775390625e-01
1.184829956054687500e+03 9.924797692590554554e-01 1.184829956054687500e+03 9.421517848968505859e-01
1.184835449218750000e+03 9.941629228485071579e-01 1.184835449218750000e+03 9.427192211151123047e-01
1.184840942382812500e+03 9.953527453400405900e-01 1.184840942382812500e+03 9.597930908203125000e-01
1.184846435546875000e+03 9.962218622707096349e-01 1.184846435546875000e+03 9.859746694564819336e-01
1.184851928710937500e+03 9.968663577125218556e-01 1.184851928710937500e+03 9.969500303268432617e-01
1.184857421875000000e+03 9.973580614239074826e-01 1.184857421875000000e+03 9.993448257446289062e-01
1.184862915039062500e+03 9.977436857591253094e-01 1.184862915039062500e+03 9.871309995651245117e-01
1.184868408203125000e+03 9.980519774920209031e-01 1.184868408203125000e+03 9.777606725692749023e-01
1.184873901367187500e+03 9.983022091738765758e-01 1.184873901367187500e+03 9.536284804344177246e-01
1.184879394531250000e+03 9.985081950200550560e-01 1.184879394531250000e+03 9.340064525604248047e-01
1.184884887695312500e+03 9.986797330173988740e-01 1.184884887695312500e+03 9.543873071670532227e-01
1.184890380859375000e+03 9.988241780203764852e-01 1.184890380859375000e+03 9.831683039665222168e-01
1.184895874023437500e+03 9.989470385988465928e-01 1.184895874023437500e+03 9.945142865180969238e-01
1.184901367187500000e+03 9.990523752418771775e-01 1.184901367187500000e+03 9.956243038177490234e-01
1.184906860351562500e+03 9.991432658091492502e-01 1.184906860351562500e+03 9.867008328437805176e-01
1.184912353515625000e+03 9.992222362233342814e-01 1.184912353515625000e+03 9.920870065689086914e-01
1.184917846679687500e+03 9.992912720251362346e-01 1.184917846679687500e+03 9.765152335166931152e-01
1.184923339843750000e+03 9.993518311021315492e-01 1.184923339843750000e+03 9.711088538169860840e-01
1.184928833007812500e+03 9.994049158955526924e-01 1.184928833007812500e+03 9.482743144035339355e-01
1.184934326171875000e+03 9.994504917823017198e-01 1.184934326171875000e+03 9.282063245773315430e-01
1.184939819335937500e+03 9.994833616274195753e-01 1.184939819335937500e+03 9.289263486862182617e-01
